season,team_abbr,role,coach_name,verification_status,notes
2025,BUF,head_coach,Sean McDermott,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,MIA,head_coach,Mike McDaniel,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,NE,head_coach,Mike Vrabel,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,NYJ,head_coach,Aaron Glenn,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,BAL,head_coach,John Harbaugh,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,CIN,head_coach,Zac Taylor,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,CLE,head_coach,Kevin Stefanski,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,PIT,head_coach,Mike Tomlin,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,HOU,head_coach,DeMeco Ryans,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,IND,head_coach,Shane Steichen,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,JAX,head_coach,Liam Coen,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,TEN,head_coach,"Brian Callahan (fired October 13, 1–5 record); Mike McCoy",verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,DEN,head_coach,Sean Payton,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,KC,head_coach,Andy Reid,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,LV,head_coach,Pete Carroll,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,LAC,head_coach,Jim Harbaugh,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,DAL,head_coach,Brian Schottenheimer,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,NYG,head_coach,"Brian Daboll (fired November 10, 2–8 record); Mike Kafka",verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,PHI,head_coach,Nick Sirianni,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,WAS,head_coach,Dan Quinn,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,CHI,head_coach,Ben Johnson,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,DET,head_coach,Dan Campbell,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,GB,head_coach,Matt LaFleur,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,MIN,head_coach,Kevin O'Connell,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,ATL,head_coach,Raheem Morris,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,CAR,head_coach,Dave Canales,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,NO,head_coach,Kellen Moore,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,TB,head_coach,Todd Bowles,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,ARI,head_coach,Jonathan Gannon,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,LAR,head_coach,Sean McVay,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,SF,head_coach,Kyle Shanahan,verified,parsed from Wikipedia 2025 season page 2026-07-24
2025,SEA,head_coach,Mike Macdonald,verified,parsed from Wikipedia 2025 season page 2026-07-24
